replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-10-03 21:00:00,2022-10-03 18:00:00,2022-10-03 22:00:00,2022-10-03 19:00:00,2022-10-04 10:00:00,2022-10-04 07:00:00,new_york,1699.08,1699.15,1678.856,20.294,24.0,15.0,12,time_exit,6.35,6.0,False
overlap_every_signal,2022-10-03 22:00:00,2022-10-03 19:00:00,2022-10-03 23:00:00,2022-10-03 20:00:00,2022-10-04 11:00:00,2022-10-04 08:00:00,new_york,1700.54,1700.68,1682.776,17.904,24.0,15.0,12,time_exit,7.51,7.16,False
overlap_every_signal,2022-10-03 23:00:00,2022-10-03 20:00:00,2022-10-04 01:00:00,2022-10-03 22:00:00,2022-10-04 13:00:00,2022-10-04 10:00:00,new_york,1698.18,1699.49,1686.208,13.282,24.0,15.0,12,time_exit,10.18,9.83,False
overlap_every_signal,2022-10-04 01:00:00,2022-10-03 22:00:00,2022-10-04 02:00:00,2022-10-03 23:00:00,2022-10-04 14:00:00,2022-10-04 11:00:00,other,1700.26,1700.27,1689.631,10.639,24.0,15.0,12,time_exit,5.81,5.46,False
overlap_every_signal,2022-10-04 17:00:00,2022-10-04 14:00:00,2022-10-04 18:00:00,2022-10-04 15:00:00,2022-10-05 06:00:00,2022-10-05 03:00:00,london_ny_overlap,1720.54,1720.54,1708.724,11.816,24.0,15.0,12,time_exit,-0.85,-1.2,False
overlap_every_signal,2022-10-04 18:00:00,2022-10-04 15:00:00,2022-10-04 19:00:00,2022-10-04 16:00:00,2022-10-05 07:00:00,2022-10-05 04:00:00,london_ny_overlap,1725.58,1725.54,1710.982,14.558,24.0,15.0,12,time_exit,-6.15,-6.5,False
overlap_every_signal,2022-10-04 19:00:00,2022-10-04 16:00:00,2022-10-04 20:00:00,2022-10-04 17:00:00,2022-10-05 08:00:00,2022-10-05 05:00:00,new_york,1723.12,1723.1,1712.711,10.389,24.0,15.0,12,time_exit,-4.51,-4.86,False
overlap_every_signal,2022-10-11 18:00:00,2022-10-11 15:00:00,2022-10-11 19:00:00,2022-10-11 16:00:00,2022-10-11 21:59:00,2022-10-11 18:59:00,london_ny_overlap,1681.38,1681.38,1668.247,13.133,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-10-11 19:00:00,2022-10-11 16:00:00,2022-10-11 20:00:00,2022-10-11 17:00:00,2022-10-11 22:00:00,2022-10-11 19:00:00,new_york,1680.6,1680.51,1669.671,10.839,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-10-20 17:00:00,2022-10-20 14:00:00,2022-10-20 18:00:00,2022-10-20 15:00:00,2022-10-20 20:51:00,2022-10-20 17:51:00,london_ny_overlap,1644.63,1644.6,1634.301,10.299,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-10-21 16:00:00,2022-10-21 13:00:00,2022-10-21 17:00:00,2022-10-21 14:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,london_ny_overlap,1642.57,1642.37,1625.463,16.907,24.0,15.0,12,time_exit,12.49,12.14,False
overlap_every_signal,2022-10-21 17:00:00,2022-10-21 14:00:00,2022-10-21 18:00:00,2022-10-21 15:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,london_ny_overlap,1639.17,1639.17,1627.214,11.956,24.0,15.0,12,time_exit,15.89,15.54,False
overlap_every_signal,2022-10-21 18:00:00,2022-10-21 15:00:00,2022-10-21 19:00:00,2022-10-21 16:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,london_ny_overlap,1650.7,1650.7,1630.164,20.536,24.0,15.0,12,time_exit,4.36,4.01,False
overlap_every_signal,2022-10-21 19:00:00,2022-10-21 16:00:00,2022-10-21 20:00:00,2022-10-21 17:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,new_york,1651.33,1651.31,1633.203,18.107,24.0,15.0,12,time_exit,3.73,3.38,False
overlap_every_signal,2022-10-21 20:00:00,2022-10-21 17:00:00,2022-10-21 21:00:00,2022-10-21 18:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,new_york,1651.76,1651.76,1636.013,15.747,24.0,15.0,12,time_exit,3.3,2.95,False
overlap_every_signal,2022-10-21 21:00:00,2022-10-21 18:00:00,2022-10-21 22:00:00,2022-10-21 19:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,new_york,1653.86,1653.63,1639.335,14.295,24.0,15.0,12,time_exit,1.2,0.85,False
overlap_every_signal,2022-10-21 22:00:00,2022-10-21 19:00:00,2022-10-24 01:00:00,2022-10-23 22:00:00,2022-10-24 13:00:00,2022-10-24 10:00:00,new_york,1657.69,1655.06,1642.316,12.744,24.0,15.0,12,time_exit,-8.08,-8.43,False
overlap_every_signal,2022-10-24 01:00:00,2022-10-23 22:00:00,2022-10-24 02:00:00,2022-10-23 23:00:00,2022-10-24 14:00:00,2022-10-24 11:00:00,other,1659.05,1659.05,1645.722,13.328,24.0,15.0,12,time_exit,-10.82,-11.17,False
